"date","FXAUDCAD","FXCNYCAD","FXEURCAD","FXGBPCAD","FXINRCAD","FXJPYCAD","FXMXNCAD","FXUSDCAD"
"2017-10-20","0.9857","0.1903","1.4852","1.6615","0.01938","0.01111","0.06635","1.2601"
"2017-10-23","0.9870","0.1904","1.4850","1.6683","0.01945","0.01112","0.06639","1.2644"
"2017-10-24","0.9853","0.1909","1.4901","1.6640","0.01946","0.01112","0.06606","1.2666"
"2017-10-25","0.9836","0.1923","1.5073","1.6924","0.01967","0.01122","0.06693","1.2771"
"2017-10-26","0.9857","0.1932","1.5009","1.6908","0.01979","0.01127","0.06717","1.2831"
"2017-10-27","0.9856","0.1935","1.4925","1.6878","0.01979","0.01130","0.06714","1.2874"
"2017-10-30","0.9849","0.1931","1.4926","1.6938","0.01979","0.01133","0.06689","1.2837"
"2017-10-31","0.9868","0.1943","1.5014","1.7095","0.01991","0.01135","0.06730","1.2893"
"2017-11-01","0.9889","0.1951","1.4978","1.7100","0.01995","0.01130","0.06734","1.2885"
"2017-11-02","0.9893","0.1940","1.4950","1.6777","0.01985","0.01125","0.06747","1.2822"
"2017-11-03","0.9770","0.1924","1.4833","1.6693","0.01977","0.01118","0.06671","1.2764"
"2017-11-06","0.9779","0.1921","1.4784","1.6745","0.01972","0.01119","0.06684","1.2746"
"2017-11-07","0.9770","0.1926","1.4802","1.6806","0.01966","0.01121","0.06681","1.2785"
"2017-11-08","0.9772","0.1921","1.4757","1.6681","0.01960","0.01120","0.06671","1.2729"
"2017-11-09","0.9736","0.1911","1.4768","1.6666","0.01953","0.01120","0.06648","1.2692"
"2017-11-10","0.9719","0.1910","1.4789","1.6745","0.01946","0.01118","0.06649","1.2683"
"2017-11-14","0.9718","0.1919","1.4990","1.6730","0.01946","0.01122","0.06657","1.2733"
"2017-11-15","0.9691","0.1929","1.5082","1.6820","0.01957","0.01131","0.06639","1.2773"
"2017-11-16","0.9677","0.1922","1.5002","1.6813","0.01951","0.01128","0.06671","1.2745"
"2017-11-17","0.9661","0.1929","1.5077","1.6882","0.01966","0.01139","0.06739","1.2783"
"2017-11-20","0.9660","0.1928","1.5030","1.6939","0.01965","0.01138","0.06730","1.2793"
"2017-11-21","0.9685","0.1927","1.4996","1.6918","0.01969","0.01137","0.06785","1.2778"
"2017-11-22","0.9664","0.1925","1.5008","1.6914","0.01962","0.01141","0.06800","1.2729"
"2017-11-23","0.9695","0.1932","1.5066","1.6919","0.01969","0.01143","0.06825","1.2715"
"2017-11-24","0.9681","0.1925","1.5150","1.6947","0.01965","0.01140","0.06848","1.2708"
"2017-11-27","0.9696","0.1930","1.5179","1.6989","0.01975","0.01147","0.06872","1.2735"
"2017-11-28","0.9741","0.1939","1.5202","1.7028","0.01988","0.01151","0.06894","1.2807"
"2017-11-29","0.9729","0.1945","1.5231","1.7245","0.01998","0.01149","0.06933","1.2853"
"2017-11-30","0.9757","0.1949","1.5330","1.7404","0.01999","0.01147","0.06924","1.2888"
"2017-12-01","0.9680","0.1924","1.5134","1.7166","0.01973","0.01134","0.06824","1.2729"
"2017-12-04","0.9645","0.1918","1.5042","1.7115","0.01972","0.01126","0.06814","1.2695"
"2017-12-05","0.9652","0.1916","1.4991","1.7039","0.01970","0.01125","0.06775","1.2680"
"2017-12-06","0.9657","0.1929","1.5049","1.7068","0.01977","0.01137","0.06761","1.2757"
"2017-12-07","0.9657","0.1940","1.5141","1.7245","0.01989","0.01139","0.06781","1.2843"
"2017-12-08","0.9658","0.1942","1.5123","1.7229","0.01995","0.01133","0.06791","1.2860"
"2017-12-11","0.9682","0.1942","1.5157","1.7165","0.01997","0.01133","0.06767","1.2854"
"2017-12-12","0.9727","0.1944","1.5106","1.7151","0.01999","0.01133","0.06715","1.2871"
"2017-12-13","0.9780","0.1942","1.5128","1.7181","0.01994","0.01137","0.06719","1.2852"
"2017-12-14","0.9817","0.1937","1.5104","1.7193","0.01990","0.01138","0.06707","1.2805"
"2017-12-15","0.9823","0.1942","1.5108","1.7102","0.02003","0.01140","0.06711","1.2834"
"2017-12-18","0.9866","0.1944","1.5177","1.7231","0.02003","0.01144","0.06752","1.2865"
