date,CAD_per_INR
2021-08-26,0.01706
2021-08-27,0.01718
2021-08-30,0.01719
2021-08-31,0.0173
2021-09-01,0.01727
2021-09-02,0.01722
2021-09-03,0.01715
2021-09-07,0.01718
2021-09-08,0.01718
2021-09-09,0.0172
2021-09-10,0.01719
2021-09-13,0.0172
2021-09-14,0.01719
2021-09-15,0.01721
2021-09-16,0.01723
2021-09-17,0.01728
2021-09-20,0.01742
2021-09-21,0.01736
2021-09-22,0.01728
2021-09-23,0.01716
2021-09-24,0.01718
2021-09-27,0.01711
2021-09-28,0.01709
2021-09-29,0.01715
2021-10-01,0.01706
2021-10-04,0.01691
2021-10-05,0.01687
2021-10-06,0.01685
2021-10-07,0.01678
2021-10-08,0.01665
2021-10-12,0.01651
2021-10-13,0.01651
2021-10-14,0.01646
2021-10-15,0.01651
2021-10-18,0.01643
2021-10-19,0.01646
2021-10-20,0.01648
2021-10-21,0.0165
2021-10-22,0.0165
2021-10-25,0.01649
2021-10-26,0.01652
2021-10-27,0.01647
2021-10-28,0.01651
2021-10-29,0.01652
2021-11-01,0.01652
2021-11-02,0.01662
2021-11-03,0.01667
2021-11-04,0.01671
2021-11-05,0.01678
2021-11-08,0.01683
2021-11-09,0.0168
2021-11-10,0.01675
2021-11-12,0.01689
2021-11-15,0.01683
2021-11-16,0.01686
2021-11-17,0.01695
2021-11-18,0.01699
2021-11-19,0.01702
2021-11-22,0.01705
2021-11-23,0.01706
2021-11-24,0.01701
2021-11-25,0.01699
2021-11-26,0.01704
2021-11-29,0.017
2021-11-30,0.01703
2021-12-01,0.01707
2021-12-02,0.0171
2021-12-03,0.01703
2021-12-06,0.01695
2021-12-07,0.01678
2021-12-08,0.01676
2021-12-09,0.0168
2021-12-10,0.0168
2021-12-13,0.01688
2021-12-14,0.0169
2021-12-15,0.01688
2021-12-16,0.01677
2021-12-17,0.0169
2021-12-20,0.01707
2021-12-21,0.01708
2021-12-22,0.01704
2021-12-23,0.01707
2021-12-24,0.01708
2021-12-29,0.01717
2021-12-30,0.01717
2021-12-31,0.01703
2022-01-04,0.01705
2022-01-05,0.01711
2022-01-06,0.01712
2022-01-07,0.01705
2022-01-10,0.01712
2022-01-11,0.01707
2022-01-12,0.01695
2022-01-13,0.01689
2022-01-14,0.01693
2022-01-17,0.01685
2022-01-18,0.0168
2022-01-19,0.01679
2022-01-20,0.01677
2022-01-21,0.01688
2022-01-24,0.01695
2022-01-25,0.01689
2022-01-26,0.01683
2022-01-27,0.0169
2022-01-28,0.01702
2022-01-31,0.01704
2022-02-01,0.01698
2022-02-02,0.01695
2022-02-03,0.01696
2022-02-04,0.01708
2022-02-07,0.01699
2022-02-08,0.01701
2022-02-09,0.01695
2022-02-10,0.01688
2022-02-11,0.01686
2022-02-14,0.01685
2022-02-15,0.01694
2022-02-16,0.0169
2022-02-17,0.01692
2022-02-18,0.01706
2022-02-22,0.01706
2022-02-23,0.01705
2022-02-24,0.01697
2022-02-25,0.01697
2022-02-28,0.01681
2022-03-01,0.01677
2022-03-02,0.01674
2022-03-03,0.01667
2022-03-04,0.01669
2022-03-07,0.01661
2022-03-08,0.01671
2022-03-09,0.01678
2022-03-10,0.01673
2022-03-11,0.01663
2022-03-14,0.0167
2022-03-15,0.01676
2022-03-16,0.0167
2022-03-17,0.01666
2022-03-18,0.01658
2022-03-21,0.01652
2022-03-22,0.01654
2022-03-23,0.01644
2022-03-24,0.01645
2022-03-25,0.0164
2022-03-28,0.01648
2022-03-29,0.01654
2022-03-30,0.01645
2022-03-31,0.01647
2022-04-01,0.01647
2022-04-04,0.01655
2022-04-05,0.01652
2022-04-06,0.01648
2022-04-07,0.01657
2022-04-08,0.01658
2022-04-11,0.01663
2022-04-12,0.01658
2022-04-13,0.01656
2022-04-14,0.01653
2022-04-18,0.01655
2022-04-19,0.01652
2022-04-20,0.01639
2022-04-21,0.01643
2022-04-22,0.01661
2022-04-25,0.01663
2022-04-26,0.0167
2022-04-27,0.01674
2022-04-28,0.01673
2022-04-29,0.01672
2022-05-02,0.01686
2022-05-03,0.01678
2022-05-04,0.01679
2022-05-05,0.01677
2022-05-06,0.01674
2022-05-09,0.01675
2022-05-10,0.01684
2022-05-11,0.01678
2022-05-12,0.01685
2022-05-13,0.01672
2022-05-16,0.01656
2022-05-17,0.01656
2022-05-18,0.01653
2022-05-19,0.01653
2022-05-20,0.01649
2022-05-24,0.01654
2022-05-25,0.01655
2022-05-26,0.01648
2022-05-27,0.01641
2022-05-30,0.01633
2022-05-31,0.01629
2022-06-01,0.0163
2022-06-02,0.01626
2022-06-03,0.01621
2022-06-06,0.01616
2022-06-07,0.01616
2022-06-08,0.01614
2022-06-09,0.01625
2022-06-10,0.01637
2022-06-13,0.01647
2022-06-14,0.01659
2022-06-15,0.01657
2022-06-16,0.01657
2022-06-17,0.01671
2022-06-20,0.01667
2022-06-21,0.01655
2022-06-22,0.01654
2022-06-23,0.01661
2022-06-24,0.01652
2022-06-27,0.01642
2022-06-28,0.01628
2022-06-29,0.01631
2022-06-30,0.01631
2022-07-04,0.0163
2022-07-05,0.01644
2022-07-06,0.0165
2022-07-07,0.01641
2022-07-08,0.01635
2022-07-11,0.01636
2022-07-12,0.01637
2022-07-13,0.01628
2022-07-14,0.01642
2022-07-15,0.01634
2022-07-18,0.01619
2022-07-19,0.01615
2022-07-20,0.0161
2022-07-21,0.01615
2022-07-22,0.01613
2022-07-25,0.01611
2022-07-26,0.01614
2022-07-27,0.01611
2022-07-28,0.01612
2022-07-29,0.01616
2022-08-02,0.01637
2022-08-03,0.01624
2022-08-04,0.01622
2022-08-05,0.0163
2022-08-08,0.01616
2022-08-09,0.01619
2022-08-10,0.01616
2022-08-11,0.01603
2022-08-12,0.01605
2022-08-15,0.01623
2022-08-16,0.01623
2022-08-17,0.01626
2022-08-18,0.01622
2022-08-19,0.01626
2022-08-22,0.01632
2022-08-23,0.01625
2022-08-24,0.01627
2022-08-25,0.01619
2022-08-26,0.01626
2022-08-29,0.01627
2022-08-30,0.01643
2022-08-31,0.01649
2022-09-01,0.01653
2022-09-02,0.01646
2022-09-06,0.01645
2022-09-07,0.0165
2022-09-08,0.01645
2022-09-09,0.01637
2022-09-12,0.01635
2022-09-13,0.01649
2022-09-14,0.01657
2022-09-15,0.01654
2022-09-16,0.01667
2022-09-19,0.01667
2022-09-20,0.01673
2022-09-21,0.01675
2022-09-22,0.01664
2022-09-23,0.01672
2022-09-26,0.01681
2022-09-27,0.01681
2022-09-28,0.01673
2022-09-29,0.01679
2022-10-03,0.01674
